Thu, 20 Oct 2016 15:36:47 -0700,<CAFKHknjTBFhxoCk_-ED2bCjYumVWzvHbHUqMwsEK+UW9=kWccQ@mail.gmail.com>,human,human
Thu, 20 Oct 2016 23:00:59 +0000,<CY4PR02MB2613D87EDAFAD803A526BDF3CCD50@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,robot
Thu, 20 Oct 2016 23:01:18 +0000,<CY4PR02MB26131103071D0658BE68563BCCD50@CY4PR02MB2613.namprd02.prod.outlook.com>,human,robot
Thu, 20 Oct 2016 23:02:23 +0000,<CY4PR02MB2613E98D60D29E6318E9ED06CCD50@CY4PR02MB2613.namprd02.prod.outlook.com>,human,robot
Thu, 20 Oct 2016 23:02:39 +0000,<CY4PR02MB2613399E0B422BD41B47B045CCD50@CY4PR02MB2613.namprd02.prod.outlook.com>,human,human
Thu, 20 Oct 2016 16:59:54 -0700,<CAFKHkng7EUSAy+=jY+aSmne7TLnFDP9Nk2uRC_BpCF826BrxWg@mail.gmail.com>,human,human
Thu, 20 Oct 2016 17:09:18 -0700,<CAFKHkngdWkj_s=yShnr7rhh5hbX6hd=3p=_r37m023UXR_9yDw@mail.gmail.com>,human,human
Fri, 21 Oct 2016 00:44:21 +0000,<CY4PR02MB261357BB3417510D1FE04BD5CCD40@CY4PR02MB2613.namprd02.prod.outlook.com>,human,human
Fri, 21 Oct 2016 00:59:06 +0000,<CY4PR02MB26136261BEA824D94B0E2FA0CCD40@CY4PR02MB2613.namprd02.prod.outlook.com>,human,robot
Sat, 22 Oct 2016 20:17:50 +0000,<CY4PR02MB2613AD78F5D4DBA47CA7D096CCD70@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,robot
Sat, 22 Oct 2016 20:18:03 +0000,<CY4PR02MB26133F51EC9ADB23D7102CC6CCD70@CY4PR02MB2613.namprd02.prod.outlook.com>,human,human
Thu, 27 Oct 2016 17:16:48 +0000,<DM5PR02MB2620D648C15F2D33EA7F920DCCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,robot,robot
Thu, 27 Oct 2016 17:20:38 +0000,<DM5PR02MB2620D772A07103BB32058974CCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,human,human
Thu, 27 Oct 2016 17:27:48 +0000,<DM5PR02MB26206E3E67DCA472B547190DCCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,human,human
Thu, 27 Oct 2016 22:09:55 +0000,<DM5PR02MB2620394351251C83695B1848CCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,human,human
Thu, 27 Oct 2016 22:12:22 +0000,<DM5PR02MB2620C5BB5FA78C5B1073D518CCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,human,human
Thu, 27 Oct 2016 22:17:56 +0000,<DM5PR02MB26204528DF3C1B3331302493CCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,human,robot
Thu, 27 Oct 2016 22:18:05 +0000,<DM5PR02MB262032ACDB933031FBF14E98CCAA0@DM5PR02MB2620.namprd02.prod.outlook.com>,human,robot
Thu, 27 Oct 2016 23:58:04 +0000,<CY4PR02MB26131BBCF587AB7024D3E81FCCAA0@CY4PR02MB2613.namprd02.prod.outlook.com>,human,human
Fri, 28 Oct 2016 00:03:06 +0000,<CY4PR02MB2613CC6CED726923855EE8F8CCAA0@CY4PR02MB2613.namprd02.prod.outlook.com>,human,human
Fri, 28 Oct 2016 16:02:54 +0000,<CY4PR02MB2613481D18C0B9013AAD6456CCAD0@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,robot
Sat, 29 Oct 2016 23:59:23 +0000,<CY4PR02MB2613E1A1C3F4AAF4235B923ACCAC0@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,human
Tue, 1 Nov 2016 06:14:00 +0000,<CY4PR02MB261382C27F8FA2FC5D82041ECCA10@CY4PR02MB2613.namprd02.prod.outlook.com>,human,human
Wed, 2 Nov 2016 23:17:26 +0000,<CY4PR02MB2613414E8EF36E6FDDB96024CCA00@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,human
Wed, 2 Nov 2016 23:48:15 +0000,<CY4PR02MB2613D4DA54E411AD9836B72DCCA00@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,human
Thu, 3 Nov 2016 00:33:18 +0000,<CY4PR02MB2613F540F001B4C876585ECACCA30@CY4PR02MB2613.namprd02.prod.outlook.com>,robot,human
